currentVersion,nextVersion,curId,curAffected,curType,curShape,nextId,nextAffected,nextType,nextShape,matched,similarityScore
2.7.1,2.7.2,143,"[antlr.DefaultFileLineFormatter, antlr.FileLineFormatter]",cyclicDep,tiny,269,"[antlr.DefaultFileLineFormatter, antlr.FileLineFormatter]",cyclicDep,tiny,true,1.0
2.7.1,2.7.2,145,"[antlr.ANTLRHashString, antlr.MismatchedCharException, antlr.CharScanner]",cyclicDep,chain,270,"[antlr.ANTLRHashString, antlr.MismatchedCharException, antlr.CharScanner]",cyclicDep,chain,true,1.0
2.7.1,2.7.2,153,[antlr.collections.impl],unstableDep,NA,363,[antlr.collections.impl],unstableDep,NA,true,1.0
2.7.2,2.7.5,280,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.RuleBlock]",cyclicDep,unknown,309,"[antlr.Grammar, antlr.DefaultToolErrorHandler, antlr.Tool, antlr.AlternativeBlock, antlr.CodeGenerator, antlr.RuleBlock]",cyclicDep,unknown,false,0.8333333333333334
2.7.2,2.7.5,280,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.RuleBlock]",cyclicDep,unknown,314,"[antlr.Grammar, antlr.DefaultToolErrorHandler, antlr.Tool, antlr.ParserGrammar, antlr.CodeGenerator, antlr.RuleBlock]",cyclicDep,unknown,false,0.8333333333333334
2.7.2,2.7.5,280,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.RuleBlock]",cyclicDep,unknown,317,"[antlr.Grammar, antlr.DefaultToolErrorHandler, antlr.Tool, antlr.CodeGenerator, antlr.RuleBlock]",cyclicDep,unknown,true,1.0
2.7.2,2.7.5,280,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.RuleBlock]",cyclicDep,unknown,318,"[antlr.Grammar, antlr.DefaultToolErrorHandler, antlr.Tool, antlr.RuleBlock]",cyclicDep,unknown,false,0.8
2.7.2,2.7.5,280,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.RuleBlock]",cyclicDep,unknown,319,"[antlr.Grammar, antlr.DefaultToolErrorHandler, antlr.Tool, antlr.CodeGenerator]",cyclicDep,unknown,false,0.8
2.7.2,2.7.5,299,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.LLkAnalyzer, antlr.WildcardElement]",cyclicDep,unknown,336,"[antlr.Grammar, antlr.WildcardElement, antlr.Tool, antlr.CodeGenerator, antlr.LLkAnalyzer]",cyclicDep,unknown,true,1.0
2.7.2,2.7.5,299,"[antlr.Tool, antlr.Grammar, antlr.CodeGenerator, antlr.LLkAnalyzer, antlr.WildcardElement]",cyclicDep,unknown,341,"[antlr.Grammar, antlr.Tool, antlr.CodeGenerator, antlr.LLkAnalyzer]",cyclicDep,unknown,false,0.8
2.7.2,2.7.5,316,"[antlr.Tool, antlr.Grammar, antlr.TokenRefElement, antlr.CodeGenerator, antlr.LLkAnalyzer]",cyclicDep,unknown,341,"[antlr.Grammar, antlr.Tool, antlr.CodeGenerator, antlr.LLkAnalyzer]",cyclicDep,unknown,false,0.8
